Mean,Std,Max,Min,RMS,Energy,PeakToPeak,ZeroCrossRate,Label
19.27,0.23,20.22,19.22,19.28,74315.22,1.00,0.00,STRAIGHT
19.53,0.46,20.22,19.22,19.54,76326.68,1.00,0.00,STRAIGHT
19.41,0.39,20.22,19.22,19.41,75380.12,1.00,0.00,STRAIGHT
19.63,0.49,20.22,19.22,19.64,77154.91,1.00,0.00,STRAIGHT
19.64,0.49,20.22,19.22,19.65,77233.77,1.00,0.00,STRAIGHT
19.39,0.38,20.22,19.22,19.39,75222.38,1.00,0.00,STRAIGHT
19.24,0.16,20.22,19.22,19.25,74078.59,1.00,0.00,STRAIGHT
19.27,0.22,20.22,19.22,19.27,74275.78,1.00,0.00,STRAIGHT
19.25,0.17,20.22,19.22,19.25,74118.02,1.00,0.00,STRAIGHT
19.22,0.07,20.22,19.22,19.23,73920.82,1.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.19,0.24,19.22,17.22,19.19,73662.74,2.00,0.00,STRAIGHT
19.18,0.28,19.22,17.22,19.18,73589.87,2.00,0.00,STRAIGHT
24.88,8.65,44.22,17.22,26.34,138773.50,27.00,0.00,BENDING
37.44,1.74,41.22,34.22,37.49,281030.31,7.00,0.00,BENDING
35.26,0.34,36.22,34.22,35.27,248746.72,2.00,0.00,BENDING
34.46,0.55,35.22,33.22,34.46,237557.86,2.00,0.00,BENDING
32.49,0.99,34.22,31.22,32.51,211380.38,3.00,0.00,BENDING
29.91,0.95,31.22,29.22,29.93,179102.36,2.00,0.00,BENDING
28.82,0.49,29.22,28.22,28.82,166165.83,1.00,0.00,BENDING
28.20,0.20,29.22,27.22,28.20,159055.42,2.00,0.00,BENDING
29.00,0.75,31.22,28.22,29.01,168369.64,3.00,0.00,BENDING
30.09,0.99,31.22,29.22,30.11,181277.98,2.00,0.00,BENDING
29.39,0.65,31.22,28.22,29.40,172897.91,3.00,0.00,BENDING
29.21,0.20,31.22,28.22,29.21,170652.63,3.00,0.00,BENDING
32.32,1.80,35.22,28.22,32.37,209563.84,7.00,0.00,BENDING
37.06,0.76,38.22,34.22,37.07,274878.81,4.00,0.00,BENDING
37.35,0.34,38.22,37.22,37.36,279102.47,1.00,0.00,BENDING
36.72,1.01,38.22,34.22,36.73,269877.72,4.00,0.00,BENDING
35.12,1.83,40.22,31.22,35.17,247423.91,9.00,0.00,BENDING
32.95,1.15,35.22,31.22,32.97,217405.19,4.00,0.00,BENDING
32.30,2.54,37.22,28.22,32.40,209944.42,9.00,0.00,BENDING
31.88,0.76,34.22,29.22,31.89,203444.81,5.00,0.00,BENDING
31.07,1.16,34.22,29.22,31.10,193399.83,5.00,0.00,BENDING
38.31,7.74,49.22,28.22,39.08,305501.03,21.00,0.00,BENDING
44.54,1.16,46.22,40.22,44.55,397029.38,6.00,0.00,BENDING
40.54,0.56,43.22,39.22,40.54,328761.41,4.00,0.00,BENDING
40.22,0.21,41.22,39.22,40.23,323618.69,2.00,0.00,BENDING
37.02,2.48,40.22,33.22,37.11,275395.19,7.00,0.00,BENDING
31.27,1.02,33.22,29.22,31.29,195769.94,4.00,0.00,BENDING
29.55,1.49,35.22,27.22,29.59,175143.67,8.00,0.00,BENDING
26.90,0.68,28.22,25.22,26.91,144868.56,3.00,0.00,BENDING
25.30,0.27,26.22,25.22,25.30,128032.42,1.00,0.00,BENDING
24.68,0.50,25.22,24.22,24.69,121919.50,1.00,0.00,BENDING
24.19,0.16,24.22,23.22,24.20,117084.31,1.00,0.00,BENDING
23.39,0.71,24.22,22.22,23.41,109565.64,2.00,0.00,BENDING
22.29,0.26,23.22,22.22,22.29,99381.50,1.00,0.00,BENDING
22.22,0.00,22.22,22.22,22.22,98745.34,0.00,0.00,BENDING
22.22,0.00,22.22,22.22,22.22,98745.34,0.00,0.00,BENDING
22.14,0.26,22.22,21.22,22.15,98093.78,1.00,0.00,BENDING
21.54,0.47,22.22,21.22,21.55,92837.76,1.00,0.00,BENDING
21.28,0.25,22.22,21.22,21.29,90622.37,1.00,0.00,BENDING
21.43,0.41,22.22,21.22,21.44,91925.52,1.00,0.00,BENDING
21.27,0.22,22.22,21.22,21.27,90492.07,1.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.22,0.07,22.22,21.22,21.23,90101.11,1.00,0.00,BENDING
21.61,0.50,23.22,21.22,21.62,93447.80,2.00,0.00,BENDING
23.59,1.10,26.22,22.22,23.62,111539.88,4.00,0.00,BENDING
22.09,0.34,22.22,21.22,22.09,97615.97,1.00,0.00,BENDING
21.23,0.10,22.22,21.22,21.23,90144.55,1.00,0.00,BENDING
21.07,0.36,21.22,20.22,21.07,88814.34,1.00,0.00,BENDING
20.28,0.25,21.22,20.22,20.29,82308.08,1.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.18,0.20,20.22,19.22,20.18,81453.84,1.00,0.00,BENDING
20.14,0.26,20.22,19.22,20.15,81177.77,1.00,0.00,BENDING
20.08,0.35,20.22,19.22,20.08,80665.05,1.00,0.00,BENDING
19.88,0.47,20.22,19.22,19.89,79126.89,1.00,0.00,STRAIGHT
19.60,0.49,20.22,19.22,19.61,76878.79,1.00,0.00,STRAIGHT
19.54,0.47,20.22,19.22,19.55,76444.99,1.00,0.00,STRAIGHT
19.24,0.16,20.22,19.22,19.25,74078.58,1.00,0.00,STRAIGHT
19.22,0.07,20.22,19.22,19.23,73920.82,1.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.19,0.24,19.22,17.22,19.19,73662.74,2.00,0.00,STRAIGHT
19.15,0.37,19.22,17.22,19.15,73371.23,2.00,0.00,STRAIGHT
19.07,0.53,19.22,17.22,19.08,72788.20,2.00,0.00,STRAIGHT
18.92,0.71,19.22,17.22,18.93,71695.02,2.00,0.00,STRAIGHT
18.21,1.00,19.22,17.22,18.24,66520.59,2.00,0.00,STRAIGHT
17.32,0.44,19.22,17.22,17.33,60034.27,2.00,0.00,STRAIGHT
17.74,0.88,19.22,17.22,17.76,63095.20,2.00,0.00,STRAIGHT
18.01,0.98,19.22,17.22,18.04,65062.94,2.00,0.00,STRAIGHT
18.87,0.76,19.22,17.22,18.89,71330.59,2.00,0.00,STRAIGHT
30.30,7.44,37.22,17.22,31.20,194700.59,20.00,0.00,BENDING
32.96,1.15,36.22,32.22,32.99,217603.64,4.00,0.00,BENDING
30.64,1.15,32.22,29.22,30.66,188028.64,3.00,0.00,BENDING
29.68,0.84,31.22,29.22,29.69,176322.14,2.00,0.00,BENDING
28.73,0.50,29.22,28.22,28.74,165189.41,1.00,0.00,BENDING
28.21,0.19,29.22,27.22,28.22,159223.72,2.00,0.00,BENDING
27.93,0.45,28.22,27.22,27.93,156057.75,1.00,0.00,BENDING
30.49,2.49,35.22,27.22,30.60,187224.27,8.00,0.00,BENDING
34.76,0.51,35.22,33.22,34.76,241702.81,2.00,0.00,BENDING
34.76,0.55,35.22,33.22,34.76,241710.45,2.00,0.00,BENDING
33.06,0.64,34.22,31.22,33.07,218672.81,3.00,0.00,BENDING
32.34,0.53,33.22,31.22,32.35,209295.06,2.00,0.00,BENDING
33.40,1.09,36.22,31.22,33.42,223350.92,5.00,0.00,BENDING
36.32,0.74,37.22,35.22,36.33,263938.19,2.00,0.00,BENDING
35.88,0.49,37.22,34.22,35.89,257595.16,3.00,0.00,BENDING
35.55,0.51,36.22,34.22,35.56,252884.20,2.00,0.00,BENDING
35.00,0.41,35.22,34.22,35.00,245034.41,1.00,0.00,BENDING
34.74,0.53,36.22,33.22,34.74,241428.58,3.00,0.00,BENDING
33.92,0.56,35.22,33.22,33.93,230244.05,2.00,0.00,BENDING
33.75,0.62,35.22,32.22,33.76,227955.00,3.00,0.00,BENDING
33.70,0.62,35.22,32.22,33.71,227215.14,3.00,0.00,BENDING
34.15,0.90,35.22,32.22,34.16,233404.86,3.00,0.00,BENDING
30.05,1.32,32.22,28.22,30.08,180950.30,4.00,0.00,BENDING
27.61,0.52,28.22,26.22,27.61,152515.78,2.00,0.00,BENDING
25.92,0.99,27.22,24.22,25.94,134565.02,3.00,0.00,BENDING
23.99,0.57,25.22,22.22,24.00,115169.05,3.00,0.00,BENDING
24.53,0.46,25.22,24.22,24.53,120386.90,1.00,0.00,BENDING
23.16,0.84,24.22,22.22,23.18,107418.09,2.00,0.00,BENDING
22.22,0.07,23.22,22.22,22.23,98790.78,1.00,0.00,BENDING
21.99,0.42,22.22,21.22,22.00,96790.66,1.00,0.00,BENDING
21.26,0.20,22.22,21.22,21.26,90405.19,1.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.16,0.23,21.22,20.22,21.17,89601.79,1.00,0.00,BENDING
20.40,0.38,21.22,20.22,20.40,83261.19,1.00,0.00,BENDING
20.22,0.07,21.22,20.22,20.23,81810.80,1.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.21,0.07,20.22,19.22,20.22,81729.92,1.00,0.00,BENDING
20.21,0.07,20.22,19.22,20.22,81729.93,1.00,0.00,BENDING
20.21,0.07,20.22,19.22,20.22,81729.93,1.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
19.78,0.50,20.22,19.22,19.79,78298.68,1.00,0.00,STRAIGHT
19.46,0.43,20.22,19.22,19.46,75774.52,1.00,0.00,STRAIGHT
19.50,0.45,20.22,19.22,19.51,76129.49,1.00,0.00,STRAIGHT
19.43,0.41,20.22,19.22,19.44,75577.31,1.00,0.00,STRAIGHT
19.38,0.37,20.22,19.22,19.39,75182.90,1.00,0.00,STRAIGHT
19.35,0.34,20.22,19.22,19.36,74946.26,1.00,0.00,STRAIGHT
19.23,0.10,20.22,19.22,19.23,73960.27,1.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.22,0.07,20.22,19.22,19.23,73920.82,1.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.17,0.31,19.22,17.22,19.17,73516.99,2.00,0.00,STRAIGHT
19.18,0.28,19.22,17.22,19.18,73589.88,2.00,0.00,STRAIGHT
19.11,0.46,19.22,17.22,19.12,73079.71,2.00,0.00,STRAIGHT
18.97,0.66,19.22,17.22,18.98,72059.40,2.00,0.00,STRAIGHT
18.89,0.74,19.22,17.22,18.90,71476.38,2.00,0.00,STRAIGHT
18.43,0.98,19.22,17.22,18.46,68123.91,2.00,0.00,STRAIGHT
18.18,1.00,19.22,17.22,18.21,66301.91,2.00,0.00,STRAIGHT
17.85,0.93,19.22,17.22,17.87,63896.88,2.00,0.00,STRAIGHT
18.23,1.00,19.22,17.22,18.26,66666.30,2.00,0.00,STRAIGHT
17.66,0.83,19.22,17.22,17.68,62512.18,2.00,0.00,STRAIGHT
17.42,0.60,19.22,17.22,17.43,60763.06,2.00,0.00,STRAIGHT
17.35,0.49,19.22,17.22,17.36,60252.91,2.00,0.00,STRAIGHT
17.24,0.20,19.22,17.22,17.24,59451.23,2.00,0.00,STRAIGHT
17.22,0.16,19.22,16.22,17.23,59344.91,3.00,0.00,STRAIGHT
17.22,0.00,17.22,17.22,17.22,59305.47,0.00,0.00,STRAIGHT
19.42,2.10,24.22,17.22,19.54,76344.47,7.00,0.00,STRAIGHT
18.90,0.86,20.22,17.22,18.92,71591.30,3.00,0.00,STRAIGHT
27.44,2.93,31.22,19.22,27.60,152312.59,12.00,0.00,BENDING
27.24,0.21,28.22,26.22,27.25,148466.67,2.00,0.00,BENDING
26.13,0.87,27.22,25.22,26.15,136758.86,2.00,0.00,BENDING
25.59,0.48,26.22,25.22,25.60,131067.33,1.00,0.00,BENDING
25.88,0.56,27.22,25.22,25.89,134017.30,2.00,0.00,BENDING
26.52,0.46,27.22,26.22,26.52,140703.63,1.00,0.00,BENDING
25.87,0.50,27.22,24.22,25.88,133951.95,3.00,0.00,BENDING
25.20,0.17,26.22,24.22,25.20,127013.63,2.00,0.00,BENDING
25.51,0.49,27.22,24.22,25.51,130198.87,3.00,0.00,BENDING
25.03,0.43,26.22,24.22,25.04,125386.09,2.00,0.00,BENDING
25.05,0.37,25.22,24.22,25.06,125577.91,1.00,0.00,BENDING
24.98,0.43,25.22,24.22,24.98,124836.33,1.00,0.00,BENDING
27.30,2.22,31.22,23.22,27.39,150044.41,8.00,0.00,BENDING
29.20,0.12,29.22,28.22,29.21,170589.19,1.00,0.00,BENDING
30.55,0.98,32.22,28.22,30.57,186850.45,4.00,0.00,BENDING
31.06,0.88,32.22,29.22,31.07,193099.27,3.00,0.00,BENDING
31.39,0.41,32.22,29.22,31.39,197100.38,3.00,0.00,BENDING
31.25,0.25,32.22,29.22,31.26,195387.55,3.00,0.00,BENDING
31.40,0.44,33.22,29.22,31.41,197292.66,4.00,0.00,BENDING
34.08,1.20,35.22,32.22,34.10,232578.84,3.00,0.00,BENDING
34.19,0.54,35.22,33.22,34.20,233917.69,2.00,0.00,BENDING
32.77,0.83,34.22,27.22,32.79,214976.75,7.00,0.00,BENDING
34.11,0.37,35.22,33.22,34.12,232792.58,2.00,0.00,BENDING
34.21,0.30,35.22,33.22,34.21,234082.00,2.00,0.00,BENDING
34.67,0.55,36.22,33.22,34.68,240530.30,3.00,0.00,BENDING
35.77,0.59,37.22,34.22,35.78,256039.53,3.00,0.00,BENDING
36.55,0.50,37.22,35.22,36.56,267304.03,2.00,0.00,BENDING
36.88,0.50,38.22,35.22,36.88,272077.38,3.00,0.00,BENDING
36.60,0.50,37.22,35.22,36.61,268034.38,2.00,0.00,BENDING
39.89,1.39,41.22,36.22,39.92,318707.84,5.00,0.00,BENDING
40.98,0.68,43.22,39.22,40.99,335964.97,4.00,0.00,BENDING
41.38,0.69,43.22,40.22,41.39,342555.97,3.00,0.00,BENDING
41.23,0.37,43.22,40.22,41.24,340092.41,3.00,0.00,BENDING
40.99,0.69,43.22,40.22,41.00,336212.84,3.00,0.00,BENDING
42.11,1.05,44.22,40.22,42.13,354953.84,4.00,0.00,BENDING
42.48,1.39,45.22,40.22,42.50,361294.44,5.00,0.00,BENDING
46.06,0.41,47.22,44.22,46.07,424430.00,3.00,0.00,BENDING
45.54,0.47,46.22,45.22,45.55,414912.44,1.00,0.00,BENDING
45.20,0.23,46.22,44.22,45.21,408708.50,2.00,0.00,BENDING
45.14,0.27,45.22,44.22,45.14,407537.78,1.00,0.00,BENDING
48.92,2.65,55.22,44.22,48.99,480035.91,11.00,0.00,BENDING
43.93,1.48,46.22,41.22,43.95,386403.94,5.00,0.00,BENDING
39.97,0.85,41.22,38.22,39.98,319665.44,3.00,0.00,BENDING
37.91,0.46,38.22,37.22,37.91,287475.72,1.00,0.00,BENDING
36.72,0.50,37.22,36.22,36.72,269721.72,1.00,0.00,BENDING
36.01,0.40,36.22,35.22,36.02,259448.59,1.00,0.00,BENDING
35.24,0.17,36.22,34.22,35.24,248377.58,2.00,0.00,BENDING
34.37,0.37,35.22,33.22,34.37,236286.05,2.00,0.00,BENDING
34.16,0.23,34.22,33.22,34.17,233459.00,1.00,0.00,BENDING
33.27,0.66,34.22,32.22,33.28,221465.36,2.00,0.00,BENDING
32.28,0.25,33.22,32.22,32.29,208475.78,1.00,0.00,BENDING
32.21,0.07,32.22,31.22,32.22,207561.63,1.00,0.00,BENDING
31.93,0.45,32.22,31.22,31.94,204009.11,1.00,0.00,BENDING
31.26,0.20,32.22,31.22,31.26,195444.98,1.00,0.00,BENDING
31.22,0.00,31.22,31.22,31.22,194937.48,0.00,0.00,BENDING
31.22,0.00,31.22,31.22,31.22,194937.48,0.00,0.00,BENDING
31.11,0.46,31.22,29.22,31.11,193607.84,2.00,0.00,BENDING
30.48,0.97,31.22,29.22,30.50,185992.41,2.00,0.00,BENDING
29.90,0.95,31.22,29.22,29.91,178981.44,2.00,0.00,BENDING
29.73,0.87,31.22,29.22,29.74,176926.44,2.00,0.00,BENDING
29.71,0.86,31.22,29.22,29.72,176684.69,2.00,0.00,BENDING
29.20,0.12,29.22,28.22,29.21,170589.20,1.00,0.00,BENDING
29.20,0.14,29.22,28.22,29.20,170531.77,1.00,0.00,BENDING
28.79,0.49,29.22,28.22,28.80,165878.94,1.00,0.00,BENDING
28.40,0.39,29.22,28.22,28.41,161398.42,1.00,0.00,BENDING
28.23,0.10,29.22,28.22,28.23,159388.03,1.00,0.00,BENDING
28.22,0.00,28.22,28.22,28.22,159273.16,0.00,0.00,BENDING
28.78,1.22,32.22,27.22,28.81,165952.72,5.00,0.00,BENDING
29.17,0.80,31.22,28.22,29.18,170306.95,3.00,0.00,BENDING
28.26,0.22,29.22,27.22,28.26,159734.67,2.00,0.00,BENDING
28.16,0.24,28.22,27.22,28.16,158607.91,1.00,0.00,BENDING
27.45,0.42,28.22,27.22,27.46,150791.11,1.00,0.00,BENDING
27.22,0.00,27.22,27.22,27.22,148185.47,0.00,0.00,BENDING
27.21,0.10,27.22,26.22,27.21,148078.59,1.00,0.00,BENDING
27.18,0.18,27.22,26.22,27.19,147811.38,1.00,0.00,BENDING
27.14,0.26,27.22,26.22,27.15,147383.86,1.00,0.00,BENDING
26.85,0.48,27.22,26.22,26.85,144230.77,1.00,0.00,BENDING
26.47,0.43,27.22,26.22,26.47,140169.28,1.00,0.00,BENDING
26.26,0.27,27.22,25.22,26.27,137984.14,2.00,0.00,BENDING
26.16,0.28,27.22,25.22,26.16,136883.94,2.00,0.00,BENDING
26.03,0.40,27.22,25.22,26.03,135544.53,2.00,0.00,BENDING
26.04,0.38,26.22,25.22,26.04,135645.39,1.00,0.00,BENDING
25.85,0.48,26.22,25.22,25.85,133690.72,1.00,0.00,BENDING
25.33,0.32,26.22,25.22,25.34,128392.48,1.00,0.00,BENDING
25.25,0.18,26.22,25.22,25.26,127569.46,1.00,0.00,BENDING
25.53,0.66,27.22,24.22,25.54,130494.09,3.00,0.00,BENDING
25.99,0.76,27.22,25.22,26.01,135262.55,2.00,0.00,BENDING
26.66,0.50,27.22,26.22,26.66,142199.94,1.00,0.00,BENDING
27.10,0.32,27.22,26.22,27.10,146902.88,1.00,0.00,BENDING
27.05,0.38,27.22,26.22,27.05,146368.41,1.00,0.00,BENDING
28.18,1.69,32.22,26.22,28.24,159451.22,6.00,0.00,BENDING
30.66,1.71,34.22,28.22,30.71,188590.30,6.00,0.00,BENDING
28.15,0.39,29.22,27.22,28.16,158570.48,2.00,0.00,BENDING
27.23,0.23,28.22,26.22,27.24,148359.78,2.00,0.00,BENDING
27.07,0.35,27.22,26.22,27.08,146635.63,1.00,0.00,BENDING
26.93,0.46,27.22,25.22,26.93,145087.84,2.00,0.00,BENDING
25.66,0.50,26.22,25.22,25.67,131787.52,1.00,0.00,BENDING
25.35,0.34,26.22,25.22,25.36,128598.26,1.00,0.00,BENDING
